STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-01,,9057,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-02,,8028,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-03,,8253,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-04,,7679,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-05,,7737,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-06,,8192,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-07,,8912,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-08,,8623,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-09,,8215,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2017-10,,9291,,,,,
