STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-09,,5165,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-10,,4823,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-11,,4995,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCB,AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport,2018-12,,4775,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-01,,46408,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-02,,38998,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-03,,38596,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-04,,37034,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-05,,36831,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AN_TNCC,AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport,2018-06,,34325,,,,,
